episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
72.0,9.0,22.78857142857143,22.78857142857143,175,2,4000,4000,4000,False,175,1,92e7c_00000,73d5b2b1ea364d79ab4f2a1f3c8d923a,2022-12-23_17-16-54,1671815814,3.7761261463165283,3.7761261463165283,156510,dl,192.168.0.98,3.7761261463165283,4000,1,"[29.0, 19.0, 14.0, 17.0, 12.0, 13.0, 16.0, 18.0, 27.0, 53.0, 10.0, 11.0, 61.0, 33.0, 43.0, 44.0, 15.0, 27.0, 11.0, 18.0, 12.0, 49.0, 12.0, 18.0, 58.0, 23.0, 16.0, 14.0, 15.0, 35.0, 14.0, 21.0, 14.0, 23.0, 21.0, 31.0, 22.0, 19.0, 11.0, 19.0, 23.0, 12.0, 10.0, 22.0, 13.0, 16.0, 21.0, 19.0, 11.0, 16.0, 18.0, 18.0, 25.0, 16.0, 38.0, 9.0, 38.0, 11.0, 19.0, 40.0, 27.0, 16.0, 19.0, 27.0, 13.0, 13.0, 25.0, 21.0, 11.0, 32.0, 11.0, 18.0, 13.0, 33.0, 13.0, 27.0, 17.0, 46.0, 11.0, 48.0, 29.0, 15.0, 17.0, 15.0, 29.0, 21.0, 20.0, 45.0, 29.0, 38.0, 42.0, 13.0, 11.0, 19.0, 42.0, 21.0, 12.0, 41.0, 31.0, 23.0, 22.0, 11.0, 15.0, 15.0, 20.0, 24.0, 21.0, 14.0, 28.0, 35.0, 24.0, 72.0, 22.0, 11.0, 23.0, 26.0, 21.0, 18.0, 15.0, 9.0, 42.0, 20.0, 13.0, 20.0, 35.0, 15.0, 10.0, 14.0, 38.0, 21.0, 30.0, 50.0, 15.0, 31.0, 17.0, 27.0, 31.0, 17.0, 13.0, 10.0, 34.0, 43.0, 12.0, 33.0, 11.0, 11.0, 11.0, 17.0, 29.0, 10.0, 13.0, 17.0, 23.0, 19.0, 48.0, 27.0, 14.0, 15.0, 13.0, 34.0, 15.0, 30.0, 29.0, 32.0, 16.0, 33.0, 10.0, 33.0, 20.0, 13.0, 47.0, 17.0, 26.0, 20.0, 11.0]","[29, 19, 14, 17, 12, 13, 16, 18, 27, 53, 10, 11, 61, 33, 43, 44, 15, 27, 11, 18, 12, 49, 12, 18, 58, 23, 16, 14, 15, 35, 14, 21, 14, 23, 21, 31, 22, 19, 11, 19, 23, 12, 10, 22, 13, 16, 21, 19, 11, 16, 18, 18, 25, 16, 38, 9, 38, 11, 19, 40, 27, 16, 19, 27, 13, 13, 25, 21, 11, 32, 11, 18, 13, 33, 13, 27, 17, 46, 11, 48, 29, 15, 17, 15, 29, 21, 20, 45, 29, 38, 42, 13, 11, 19, 42, 21, 12, 41, 31, 23, 22, 11, 15, 15, 20, 24, 21, 14, 28, 35, 24, 72, 22, 11, 23, 26, 21, 18, 15, 9, 42, 20, 13, 20, 35, 15, 10, 14, 38, 21, 30, 50, 15, 31, 17, 27, 31, 17, 13, 10, 34, 43, 12, 33, 11, 11, 11, 17, 29, 10, 13, 17, 23, 19, 48, 27, 14, 15, 13, 34, 15, 30, 29, 32, 16, 33, 10, 33, 20, 13, 47, 17, 26, 20, 11]",0.08928942699082412,0.5553058928746163,0.05485139159001519,0.05401509880653632,0.0,2591.921,1543.257,0.19,21050459.222,2169.412,1843.817,1.978,4000,4000,4000,4000,4000,40.31666666666666,14.799999999999999,0.20000000298023224,4.999999873689376e-05,194.8915,-0.043572687,194.92949,0.02142401,0.027983343,0.6655349,0.0
162.0,10.0,39.79,39.79,98,2,8000,4000,8000,False,273,2,92e7c_00000,73d5b2b1ea364d79ab4f2a1f3c8d923a,2022-12-23_17-16-59,1671815819,4.903282165527344,8.679408311843872,156510,dl,192.168.0.98,8.679408311843872,8000,2,"[20.0, 11.0, 43.0, 90.0, 106.0, 45.0, 11.0, 25.0, 18.0, 60.0, 15.0, 59.0, 84.0, 26.0, 30.0, 21.0, 13.0, 27.0, 14.0, 13.0, 64.0, 34.0, 15.0, 78.0, 24.0, 12.0, 52.0, 30.0, 99.0, 15.0, 125.0, 20.0, 45.0, 25.0, 25.0, 14.0, 29.0, 24.0, 24.0, 24.0, 91.0, 61.0, 61.0, 38.0, 46.0, 27.0, 25.0, 43.0, 27.0, 51.0, 27.0, 18.0, 28.0, 27.0, 29.0, 71.0, 10.0, 32.0, 46.0, 37.0, 40.0, 36.0, 18.0, 20.0, 32.0, 162.0, 44.0, 52.0, 15.0, 29.0, 60.0, 62.0, 14.0, 76.0, 18.0, 30.0, 31.0, 90.0, 11.0, 36.0, 27.0, 28.0, 40.0, 28.0, 46.0, 41.0, 32.0, 61.0, 42.0, 41.0, 112.0, 28.0, 24.0, 71.0, 51.0, 23.0, 17.0, 32.0, 21.0, 34.0]","[20, 11, 43, 90, 106, 45, 11, 25, 18, 60, 15, 59, 84, 26, 30, 21, 13, 27, 14, 13, 64, 34, 15, 78, 24, 12, 52, 30, 99, 15, 125, 20, 45, 25, 25, 14, 29, 24, 24, 24, 91, 61, 61, 38, 46, 27, 25, 43, 27, 51, 27, 18, 28, 27, 29, 71, 10, 32, 46, 37, 40, 36, 18, 20, 32, 162, 44, 52, 15, 29, 60, 62, 14, 76, 18, 30, 31, 90, 11, 36, 27, 28, 40, 28, 46, 41, 32, 61, 42, 41, 112, 28, 24, 71, 51, 23, 17, 32, 21, 34]",0.0846371365527442,0.5464791764675246,0.05394798449703295,0.05342855843443422,0.0,3158.424,1266.454,0.196,20385438.639,2129.126,1878.705,1.703,8000,8000,8000,4000,8000,46.2,15.471428571428573,0.30000001192092896,4.999999873689376e-05,296.64697,-0.029503115,296.67102,0.05434627,0.018168963,0.60670817,0.0
236.0,10.0,62.45,62.45,31,2,12000,4000,12000,False,304,3,92e7c_00000,73d5b2b1ea364d79ab4f2a1f3c8d923a,2022-12-23_17-17-03,1671815823,3.7034413814544678,12.38284969329834,156510,dl,192.168.0.98,12.38284969329834,12000,3,"[20.0, 45.0, 25.0, 25.0, 14.0, 29.0, 24.0, 24.0, 24.0, 91.0, 61.0, 61.0, 38.0, 46.0, 27.0, 25.0, 43.0, 27.0, 51.0, 27.0, 18.0, 28.0, 27.0, 29.0, 71.0, 10.0, 32.0, 46.0, 37.0, 40.0, 36.0, 18.0, 20.0, 32.0, 162.0, 44.0, 52.0, 15.0, 29.0, 60.0, 62.0, 14.0, 76.0, 18.0, 30.0, 31.0, 90.0, 11.0, 36.0, 27.0, 28.0, 40.0, 28.0, 46.0, 41.0, 32.0, 61.0, 42.0, 41.0, 112.0, 28.0, 24.0, 71.0, 51.0, 23.0, 17.0, 32.0, 21.0, 34.0, 43.0, 164.0, 226.0, 190.0, 55.0, 39.0, 174.0, 80.0, 145.0, 150.0, 75.0, 205.0, 18.0, 58.0, 158.0, 27.0, 30.0, 78.0, 176.0, 100.0, 236.0, 131.0, 228.0, 50.0, 192.0, 132.0, 60.0, 39.0, 118.0, 134.0, 34.0]","[20, 45, 25, 25, 14, 29, 24, 24, 24, 91, 61, 61, 38, 46, 27, 25, 43, 27, 51, 27, 18, 28, 27, 29, 71, 10, 32, 46, 37, 40, 36, 18, 20, 32, 162, 44, 52, 15, 29, 60, 62, 14, 76, 18, 30, 31, 90, 11, 36, 27, 28, 40, 28, 46, 41, 32, 61, 42, 41, 112, 28, 24, 71, 51, 23, 17, 32, 21, 34, 43, 164, 226, 190, 55, 39, 174, 80, 145, 150, 75, 205, 18, 58, 158, 27, 30, 78, 176, 100, 236, 131, 228, 50, 192, 132, 60, 39, 118, 134, 34]",0.08410755147498392,0.5488035850904319,0.05430902274715904,0.05371439389858282,0.0,3766.609,1061.963,0.201,19925434.679,2127.528,1880.116,1.6,12000,12000,12000,4000,12000,49.52,15.48,0.30000001192092896,4.999999873689376e-05,923.1304,-0.019862674,923.1476,0.079329275,0.008887049,0.5763147,0.0
500.0,10.0,97.65,97.65,20,2,16000,4000,16000,False,324,4,92e7c_00000,73d5b2b1ea364d79ab4f2a1f3c8d923a,2022-12-23_17-17-11,1671815831,8.262441635131836,20.645291328430176,156510,dl,192.168.0.98,20.645291328430176,16000,4,"[18.0, 28.0, 27.0, 29.0, 71.0, 10.0, 32.0, 46.0, 37.0, 40.0, 36.0, 18.0, 20.0, 32.0, 162.0, 44.0, 52.0, 15.0, 29.0, 60.0, 62.0, 14.0, 76.0, 18.0, 30.0, 31.0, 90.0, 11.0, 36.0, 27.0, 28.0, 40.0, 28.0, 46.0, 41.0, 32.0, 61.0, 42.0, 41.0, 112.0, 28.0, 24.0, 71.0, 51.0, 23.0, 17.0, 32.0, 21.0, 34.0, 43.0, 164.0, 226.0, 190.0, 55.0, 39.0, 174.0, 80.0, 145.0, 150.0, 75.0, 205.0, 18.0, 58.0, 158.0, 27.0, 30.0, 78.0, 176.0, 100.0, 236.0, 131.0, 228.0, 50.0, 192.0, 132.0, 60.0, 39.0, 118.0, 134.0, 34.0, 500.0, 438.0, 66.0, 309.0, 237.0, 287.0, 12.0, 238.0, 266.0, 399.0, 158.0, 38.0, 187.0, 142.0, 151.0, 43.0, 81.0, 104.0, 410.0, 181.0]","[18, 28, 27, 29, 71, 10, 32, 46, 37, 40, 36, 18, 20, 32, 162, 44, 52, 15, 29, 60, 62, 14, 76, 18, 30, 31, 90, 11, 36, 27, 28, 40, 28, 46, 41, 32, 61, 42, 41, 112, 28, 24, 71, 51, 23, 17, 32, 21, 34, 43, 164, 226, 190, 55, 39, 174, 80, 145, 150, 75, 205, 18, 58, 158, 27, 30, 78, 176, 100, 236, 131, 228, 50, 192, 132, 60, 39, 118, 134, 34, 500, 438, 66, 309, 237, 287, 12, 238, 266, 399, 158, 38, 187, 142, 151, 43, 81, 104, 410, 181]",0.08374236047746128,0.5519249497910672,0.05469728955237066,0.05405793919431434,0.0,3764.662,1062.513,0.198,20250109.837,2130.974,1877.076,1.579,16000,16000,16000,4000,16000,45.1,15.5,0.30000001192092896,4.999999873689376e-05,813.17645,-0.016586076,813.1908,0.105595395,0.007675535,0.5486756,0.0
500.0,11.0,132.05,132.05,11,2,20000,4000,20000,False,335,5,92e7c_00000,73d5b2b1ea364d79ab4f2a1f3c8d923a,2022-12-23_17-17-15,1671815835,3.733523368835449,24.378814697265625,156510,dl,192.168.0.98,24.378814697265625,20000,5,"[18.0, 20.0, 32.0, 162.0, 44.0, 52.0, 15.0, 29.0, 60.0, 62.0, 14.0, 76.0, 18.0, 30.0, 31.0, 90.0, 11.0, 36.0, 27.0, 28.0, 40.0, 28.0, 46.0, 41.0, 32.0, 61.0, 42.0, 41.0, 112.0, 28.0, 24.0, 71.0, 51.0, 23.0, 17.0, 32.0, 21.0, 34.0, 43.0, 164.0, 226.0, 190.0, 55.0, 39.0, 174.0, 80.0, 145.0, 150.0, 75.0, 205.0, 18.0, 58.0, 158.0, 27.0, 30.0, 78.0, 176.0, 100.0, 236.0, 131.0, 228.0, 50.0, 192.0, 132.0, 60.0, 39.0, 118.0, 134.0, 34.0, 500.0, 438.0, 66.0, 309.0, 237.0, 287.0, 12.0, 238.0, 266.0, 399.0, 158.0, 38.0, 187.0, 142.0, 151.0, 43.0, 81.0, 104.0, 410.0, 181.0, 278.0, 156.0, 317.0, 500.0, 500.0, 197.0, 368.0, 333.0, 270.0, 395.0, 500.0]","[18, 20, 32, 162, 44, 52, 15, 29, 60, 62, 14, 76, 18, 30, 31, 90, 11, 36, 27, 28, 40, 28, 46, 41, 32, 61, 42, 41, 112, 28, 24, 71, 51, 23, 17, 32, 21, 34, 43, 164, 226, 190, 55, 39, 174, 80, 145, 150, 75, 205, 18, 58, 158, 27, 30, 78, 176, 100, 236, 131, 228, 50, 192, 132, 60, 39, 118, 134, 34, 500, 438, 66, 309, 237, 287, 12, 238, 266, 399, 158, 38, 187, 142, 151, 43, 81, 104, 410, 181, 278, 156, 317, 500, 500, 197, 368, 333, 270, 395, 500]",0.08362648519977511,0.5540133518688372,0.05487109171229809,0.054293984526255196,0.0,4669.164,856.684,0.197,20355758.311,2129.828,1878.086,1.524,20000,20000,20000,4000,20000,50.260000000000005,15.5,0.30000001192092896,4.999999873689376e-05,790.29724,-0.01234022,790.3085,0.09675298,0.0037754108,0.5445462,0.0
500.0,11.0,167.68,167.68,10,2,24000,4000,24000,False,345,6,92e7c_00000,73d5b2b1ea364d79ab4f2a1f3c8d923a,2022-12-23_17-17-25,1671815845,10.187364339828491,34.566179037094116,156510,dl,192.168.0.98,34.566179037094116,24000,6,"[14.0, 76.0, 18.0, 30.0, 31.0, 90.0, 11.0, 36.0, 27.0, 28.0, 40.0, 28.0, 46.0, 41.0, 32.0, 61.0, 42.0, 41.0, 112.0, 28.0, 24.0, 71.0, 51.0, 23.0, 17.0, 32.0, 21.0, 34.0, 43.0, 164.0, 226.0, 190.0, 55.0, 39.0, 174.0, 80.0, 145.0, 150.0, 75.0, 205.0, 18.0, 58.0, 158.0, 27.0, 30.0, 78.0, 176.0, 100.0, 236.0, 131.0, 228.0, 50.0, 192.0, 132.0, 60.0, 39.0, 118.0, 134.0, 34.0, 500.0, 438.0, 66.0, 309.0, 237.0, 287.0, 12.0, 238.0, 266.0, 399.0, 158.0, 38.0, 187.0, 142.0, 151.0, 43.0, 81.0, 104.0, 410.0, 181.0, 278.0, 156.0, 317.0, 500.0, 500.0, 197.0, 368.0, 333.0, 270.0, 395.0, 500.0, 500.0, 346.0, 500.0, 371.0, 324.0, 489.0, 144.0, 383.0, 500.0, 500.0]","[14, 76, 18, 30, 31, 90, 11, 36, 27, 28, 40, 28, 46, 41, 32, 61, 42, 41, 112, 28, 24, 71, 51, 23, 17, 32, 21, 34, 43, 164, 226, 190, 55, 39, 174, 80, 145, 150, 75, 205, 18, 58, 158, 27, 30, 78, 176, 100, 236, 131, 228, 50, 192, 132, 60, 39, 118, 134, 34, 500, 438, 66, 309, 237, 287, 12, 238, 266, 399, 158, 38, 187, 142, 151, 43, 81, 104, 410, 181, 278, 156, 317, 500, 500, 197, 368, 333, 270, 395, 500, 500, 346, 500, 371, 324, 489, 144, 383, 500, 500]",0.0835136628303102,0.5564013376818037,0.05506244632012383,0.054552781200833046,0.0,4521.727,884.618,0.196,20393698.541,2124.85,1882.486,1.519,24000,24000,24000,4000,24000,44.16,15.59333333333333,0.15000000596046448,4.999999873689376e-05,554.5992,-0.010133651,554.6085,0.09255524,0.0052780686,0.5240779,0.0
500.0,12.0,202.25,202.25,8,2,28000,4000,28000,False,353,7,92e7c_00000,73d5b2b1ea364d79ab4f2a1f3c8d923a,2022-12-23_17-17-29,1671815849,3.7778124809265137,38.34399151802063,156510,dl,192.168.0.98,38.34399151802063,28000,7,"[27.0, 28.0, 40.0, 28.0, 46.0, 41.0, 32.0, 61.0, 42.0, 41.0, 112.0, 28.0, 24.0, 71.0, 51.0, 23.0, 17.0, 32.0, 21.0, 34.0, 43.0, 164.0, 226.0, 190.0, 55.0, 39.0, 174.0, 80.0, 145.0, 150.0, 75.0, 205.0, 18.0, 58.0, 158.0, 27.0, 30.0, 78.0, 176.0, 100.0, 236.0, 131.0, 228.0, 50.0, 192.0, 132.0, 60.0, 39.0, 118.0, 134.0, 34.0, 500.0, 438.0, 66.0, 309.0, 237.0, 287.0, 12.0, 238.0, 266.0, 399.0, 158.0, 38.0, 187.0, 142.0, 151.0, 43.0, 81.0, 104.0, 410.0, 181.0, 278.0, 156.0, 317.0, 500.0, 500.0, 197.0, 368.0, 333.0, 270.0, 395.0, 500.0, 500.0, 346.0, 500.0, 371.0, 324.0, 489.0, 144.0, 383.0, 500.0, 500.0, 434.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 329.0]","[27, 28, 40, 28, 46, 41, 32, 61, 42, 41, 112, 28, 24, 71, 51, 23, 17, 32, 21, 34, 43, 164, 226, 190, 55, 39, 174, 80, 145, 150, 75, 205, 18, 58, 158, 27, 30, 78, 176, 100, 236, 131, 228, 50, 192, 132, 60, 39, 118, 134, 34, 500, 438, 66, 309, 237, 287, 12, 238, 266, 399, 158, 38, 187, 142, 151, 43, 81, 104, 410, 181, 278, 156, 317, 500, 500, 197, 368, 333, 270, 395, 500, 500, 346, 500, 371, 324, 489, 144, 383, 500, 500, 434, 500, 500, 500, 500, 500, 500, 329]",0.0834220442801169,0.5584057187649187,0.05522460476203966,0.05477904740735461,0.0,5328.581,750.669,0.185,21663994.097,2133.098,1875.207,1.52,28000,28000,28000,4000,28000,52.0,14.719999999999999,0.15000000596046448,4.999999873689376e-05,449.24472,-0.010522525,449.25446,0.10501217,0.0051849294,0.5088852,0.0
500.0,12.0,239.74,239.74,11,2,32000,4000,32000,False,364,8,92e7c_00000,73d5b2b1ea364d79ab4f2a1f3c8d923a,2022-12-23_17-17-40,1671815860,11.46421194076538,49.80820345878601,156510,dl,192.168.0.98,49.80820345878601,32000,8,"[28.0, 24.0, 71.0, 51.0, 23.0, 17.0, 32.0, 21.0, 34.0, 43.0, 164.0, 226.0, 190.0, 55.0, 39.0, 174.0, 80.0, 145.0, 150.0, 75.0, 205.0, 18.0, 58.0, 158.0, 27.0, 30.0, 78.0, 176.0, 100.0, 236.0, 131.0, 228.0, 50.0, 192.0, 132.0, 60.0, 39.0, 118.0, 134.0, 34.0, 500.0, 438.0, 66.0, 309.0, 237.0, 287.0, 12.0, 238.0, 266.0, 399.0, 158.0, 38.0, 187.0, 142.0, 151.0, 43.0, 81.0, 104.0, 410.0, 181.0, 278.0, 156.0, 317.0, 500.0, 500.0, 197.0, 368.0, 333.0, 270.0, 395.0, 500.0, 500.0, 346.0, 500.0, 371.0, 324.0, 489.0, 144.0, 383.0, 500.0, 500.0, 434.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 329.0, 500.0, 289.0, 295.0, 326.0, 375.0, 399.0, 500.0, 394.0, 500.0, 378.0, 291.0]","[28, 24, 71, 51, 23, 17, 32, 21, 34, 43, 164, 226, 190, 55, 39, 174, 80, 145, 150, 75, 205, 18, 58, 158, 27, 30, 78, 176, 100, 236, 131, 228, 50, 192, 132, 60, 39, 118, 134, 34, 500, 438, 66, 309, 237, 287, 12, 238, 266, 399, 158, 38, 187, 142, 151, 43, 81, 104, 410, 181, 278, 156, 317, 500, 500, 197, 368, 333, 270, 395, 500, 500, 346, 500, 371, 324, 489, 144, 383, 500, 500, 434, 500, 500, 500, 500, 500, 500, 329, 500, 289, 295, 326, 375, 399, 500, 394, 500, 378, 291]",0.08326690390789412,0.5612085024154914,0.055445739370193134,0.055094822432754015,0.0,5138.437,778.447,0.176,22748767.458,2144.935,1864.859,1.557,32000,32000,32000,4000,32000,47.482352941176465,14.958823529411765,0.15000000596046448,4.999999873689376e-05,258.6912,-0.008019641,258.6986,0.48038626,0.0038885295,0.50249505,0.0
500.0,12.0,277.06,277.06,8,2,36000,4000,36000,False,372,9,92e7c_00000,73d5b2b1ea364d79ab4f2a1f3c8d923a,2022-12-23_17-17-44,1671815864,3.985058546066284,53.793262004852295,156510,dl,192.168.0.98,53.793262004852295,36000,9,"[34.0, 43.0, 164.0, 226.0, 190.0, 55.0, 39.0, 174.0, 80.0, 145.0, 150.0, 75.0, 205.0, 18.0, 58.0, 158.0, 27.0, 30.0, 78.0, 176.0, 100.0, 236.0, 131.0, 228.0, 50.0, 192.0, 132.0, 60.0, 39.0, 118.0, 134.0, 34.0, 500.0, 438.0, 66.0, 309.0, 237.0, 287.0, 12.0, 238.0, 266.0, 399.0, 158.0, 38.0, 187.0, 142.0, 151.0, 43.0, 81.0, 104.0, 410.0, 181.0, 278.0, 156.0, 317.0, 500.0, 500.0, 197.0, 368.0, 333.0, 270.0, 395.0, 500.0, 500.0, 346.0, 500.0, 371.0, 324.0, 489.0, 144.0, 383.0, 500.0, 500.0, 434.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 329.0, 500.0, 289.0, 295.0, 326.0, 375.0, 399.0, 500.0, 394.0, 500.0, 378.0, 291.0, 499.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]","[34, 43, 164, 226, 190, 55, 39, 174, 80, 145, 150, 75, 205, 18, 58, 158, 27, 30, 78, 176, 100, 236, 131, 228, 50, 192, 132, 60, 39, 118, 134, 34, 500, 438, 66, 309, 237, 287, 12, 238, 266, 399, 158, 38, 187, 142, 151, 43, 81, 104, 410, 181, 278, 156, 317, 500, 500, 197, 368, 333, 270, 395, 500, 500, 346, 500, 371, 324, 489, 144, 383, 500, 500, 434, 500, 500, 500, 500, 500, 500, 329, 500, 289, 295, 326, 375, 399, 500, 394, 500, 378, 291, 499, 500, 500, 500, 500, 500, 500, 500]",0.08325124951700838,0.5641166460231285,0.05568865114164037,0.05541790931592652,0.0,5870.652,681.355,0.169,23622488.11,2144.642,1865.113,1.966,36000,36000,36000,4000,36000,58.10000000000001,15.7,0.07500000298023224,4.999999873689376e-05,388.2294,-0.0032040488,388.2324,0.29116055,0.0027875346,0.5009589,0.0
500.0,12.0,306.47,306.47,8,2,40000,4000,40000,False,380,10,92e7c_00000,73d5b2b1ea364d79ab4f2a1f3c8d923a,2022-12-23_17-17-55,1671815875,10.913602113723755,64.70686411857605,156510,dl,192.168.0.98,64.70686411857605,40000,10,"[80.0, 145.0, 150.0, 75.0, 205.0, 18.0, 58.0, 158.0, 27.0, 30.0, 78.0, 176.0, 100.0, 236.0, 131.0, 228.0, 50.0, 192.0, 132.0, 60.0, 39.0, 118.0, 134.0, 34.0, 500.0, 438.0, 66.0, 309.0, 237.0, 287.0, 12.0, 238.0, 266.0, 399.0, 158.0, 38.0, 187.0, 142.0, 151.0, 43.0, 81.0, 104.0, 410.0, 181.0, 278.0, 156.0, 317.0, 500.0, 500.0, 197.0, 368.0, 333.0, 270.0, 395.0, 500.0, 500.0, 346.0, 500.0, 371.0, 324.0, 489.0, 144.0, 383.0, 500.0, 500.0, 434.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 329.0, 500.0, 289.0, 295.0, 326.0, 375.0, 399.0, 500.0, 394.0, 500.0, 378.0, 291.0, 499.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 464.0, 451.0, 500.0, 500.0, 500.0, 451.0, 500.0]","[80, 145, 150, 75, 205, 18, 58, 158, 27, 30, 78, 176, 100, 236, 131, 228, 50, 192, 132, 60, 39, 118, 134, 34, 500, 438, 66, 309, 237, 287, 12, 238, 266, 399, 158, 38, 187, 142, 151, 43, 81, 104, 410, 181, 278, 156, 317, 500, 500, 197, 368, 333, 270, 395, 500, 500, 346, 500, 371, 324, 489, 144, 383, 500, 500, 434, 500, 500, 500, 500, 500, 500, 329, 500, 289, 295, 326, 375, 399, 500, 394, 500, 378, 291, 499, 500, 500, 500, 500, 500, 500, 500, 500, 464, 451, 500, 500, 500, 451, 500]",0.08321438560789296,0.566715354858345,0.05594201524161038,0.055687394205492485,0.0,5659.819,706.736,0.165,24181631.594,2142.107,1867.32,1.925,40000,40000,40000,4000,40000,43.618750000000006,15.8625,0.03750000149011612,4.999999873689376e-05,231.48523,-0.0038205276,231.48882,0.32543677,0.0063583027,0.50212204,0.0
